,Flour,Prepared flour mixes,Cereal,Rice,Pasta,White bread,Bread other than white,Fresh biscuits,Cakes and cupcakes,Cookies,Crackers,Bread and cracker products,Doughnuts,Frozen refrigerated and canned bakery products,Pies,Ground beef,Chuck roast,Round roast,Other beef roast,Round steak,Sirloin steak,Other steak,Other beef,Bacon,Pork chops,Ham,Other pork,Pork sausage,Canned ham,Frankfurters,Bologna,Other lunchmeat,Lamb and organ meats,Mutton,Fresh and frozen whole chicken,Fresh or frozen chicken parts,Other poultry,Canned fish,Fresh fish and shellfish,Frozen fish and shellfish,Eggs,Fresh milk all types,Cream,Butter,Cheese,Ice cream and related products,Other dairy products,Apples,Bananas,Oranges,Other fresh fruits,Citrus fruits excluding oranges,Potatoes,Lettuce,Tomatoes,Other fresh vegetables,Frozen orange juice,Frozen fruits,Frozen fruit juices,Fresh fruit juices,Canned/bottled fruit juices,Canned fruits,Dried fruits,Frozen vegetables,Canned beans,Canned corn,Miscellaneous canned vegetables,Other processed dried vegetables,Dried peas,Dried beans,Dried carrots,Frozen vegetable juices,Fresh/canned vegetable juices,Candy and chewing gum,Sugar,Artificial sweeteners,Jams,Margarine,Fats and oils,Salad dressings,Non-dairy cream substitutes,Peanut butter,Cola drinks,Other carbonated drinks,Coffee,Coffee,Noncarbonated fruit flavored drinks,Tea,Other noncarbonated beverage/ice,Bottled water,Sports Drinks,Soup,Frozen meals,Frozen prepared food other than meals,Potato chips and other snacks,Nuts,Salt,Olives,Sauces and gravies,Other condiments,Prepared salads,Prepared desserts,Baby food,Miscellaneous prepared foods including items such as canned meats,Lunch at Fast Food,Lunch at Full Service,Lunch at Vending Machine,Lunch at Employer,Lunch at Board,Dinner at Fast Food,Dinner at Full Service,Dinner at Vending Machine,Dinner at Employer,Dinner at Board,Dinner at Catered Affairs,Snacks at Fast Food,Snacks at Full Service,Snacks at Vend Machine,Snacks at Employer,Snacks at Board,Breakfast at Fast Food,Breakfast at Full Service,Breakfast at Vending Machine,Breakfast at Employer,Breakfast at Board,Board at Full Service,Catered Affairs at Fast Food,Catered Affairs at Full Service,Beer and ale at home,Nonalcoholic beer,Whiskey at home,Wine at home,Other alcoholic beverages at home,Beer at Fast Food,Beer at Full Service,Beer at Vending Machine,Beer at Employer,Beer at Catered Affairs,Wine at Fast Food,Wine at Full Service,Wine at Vending Machine,Wine at Employer,Wine at Catered Affairs,Alcoholic Beverage Excluding Beer/Wine Fast Food,Alcoholic Beverage Excluding Beer/Wine Full Service,Alcoholic Beverage Excluding Beer/Wine Vending Machine,Alcoholic Beverage Excluding Beer/Wine at Employer
,10110,10120,10210,10310,10320,20110,20210,20310,20410,20510,20610,20620,20710,20810,20820,30110,30210,30310,30410,30510,30610,30710,30810,40110,40210,40310,40410,40510,40610,50110,50210,50310,50410,50900,60110,60210,60310,70110,70230,70240,80110,90110,90210,100110,100210,100410,100510,110110,110210,110310,110410,110510,120110,120210,120310,120410,130110,130121,130122,130211,130212,130310,130320,140110,140210,140220,140230,140310,140320,140330,140340,140410,140420,150110,150211,150212,150310,160110,160211,160212,160310,160320,170110,170210,170310,170410,170510,170520,170531,170532,170533,180110,180210,180220,180310,180320,180410,180420,180510,180520,180611,180612,180620,180710,190111,190112,190113,190114,190115,190211,190212,190213,190214,190215,190216,190311,190312,190313,190314,190315,190321,190322,190323,190324,190325,190912,190921,190922,200111,200112,200210,200310,200410,200511,200512,200513,200514,200516,200521,200522,200523,200524,200526,200531,200532,200533,200534
3111041,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,0,2,6,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111042,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111051,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111061,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111072,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111091,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3111092,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
